"location","variable","estimate","year"
"Washington","S0802_C02_034",13.1,2010
"Washington","S0802_C02_035",5.6,2010
"Washington","S0802_C02_036",17,2010
"Washington","S0802_C02_037",37081,2010
"Washington","S0802_C02_038",2220039,2010
"Washington","S0802_C02_039",5.2,2010
"Washington","S0802_C02_040",5.4,2010
"Washington","S0802_C02_041",89.5,2010
"Washington","S0802_C02_042",2225031,2010
"Washington","S0802_C02_043",37.5,2010
"Washington","S0802_C02_044",16.9,2010
"Washington","S0802_C02_045",23.7,2010
"Washington","S0802_C02_046",9.8,2010
"Washington","S0802_C02_047",11.5,2010
"Washington","S0802_C02_048",0.7,2010
"Washington","S0802_C02_049",2.2,2010
"Washington","S0802_C02_050",6.3,2010
"Washington","S0802_C02_051",11,2010
"Washington","S0802_C02_052",3.2,2010
"Washington","S0802_C02_053",12.1,2010
"Washington","S0802_C02_054",5.2,2010
"Washington","S0802_C02_055",7.5,2010
"Washington","S0802_C02_056",10.2,2010
"Washington","S0802_C02_057",21.6,2010
"Washington","S0802_C02_058",8.2,2010
"Washington","S0802_C02_059",5,2010
"Washington","S0802_C02_060",6,2010
"Washington","S0802_C02_061",1.4,2010
"Washington","S0802_C02_062",77.1,2010
"Washington","S0802_C02_063",18.4,2010
"Washington","S0802_C02_064",4.5,2010
"Washington","S0802_C02_065",0,2010
"Washington","S0802_C02_066",96.7,2010
"Washington","S0802_C02_067",80.5,2010
"Washington","S0802_C02_068",16.2,2010
"Washington","S0802_C02_069",3.3,2010
"Washington","S0802_C02_070",2225031,2010
"Washington","S0802_C02_071",5.7,2010
"Washington","S0802_C02_072",4.2,2010
"Washington","S0802_C02_073",5.5,2010
"Washington","S0802_C02_074",8.8,2010
"Washington","S0802_C02_075",10,2010
"Washington","S0802_C02_076",13.2,2010
"Washington","S0802_C02_077",12.7,2010
"Washington","S0802_C02_078",10.1,2010
"Washington","S0802_C02_079",5.7,2010
"Washington","S0802_C02_080",23.9,2010
"Washington","S0802_C02_081",13.1,2010
"Washington","S0802_C02_082",15.5,2010
"Washington","S0802_C02_083",16.8,2010
"Washington","S0802_C02_084",16.2,2010
"Washington","S0802_C02_085",6.5,2010
"Washington","S0802_C02_086",13.8,2010
"Washington","S0802_C02_087",6.2,2010
"Washington","S0802_C02_088",6.5,2010
"Washington","S0802_C02_089",5.4,2010
"Washington","S0802_C02_090",23.5,2010
"Washington","S0802_C02_091",2218378,2010
"Washington","S0802_C02_092",69.4,2010
"Washington","S0802_C02_093",30.6,2010
"Washington","S0802_C02_094",1.1,2010
"Washington","S0802_C02_095",18.6,2010
"Washington","S0802_C02_096",42.5,2010
"Washington","S0802_C02_097",37.8,2010
"Washington","S0802_C02_098",NA,2010
"Washington","S0802_C02_099",NA,2010
"Washington","S0802_C02_100",NA,2010
"Washington","S0802_C02_101",NA,2010
"Washington","S0802_C03_001",319376,2010
"Washington","S0802_C03_002",4.1,2010
"Washington","S0802_C03_003",10.6,2010
"Washington","S0802_C03_004",46.5,2010
